"Portugues";"Kikongo"
"ingratidão";"lembi tonda"
"ingrato";"ntokodi"
"íngua";"ntati"
"iniciado";"wa yantika"
"iniciar";"yantika"
"iniciar-se";"kudi yantika"
"iniciativa";"yantika"
"início";"ngyatika, luyantiki"
"inimigo";"mbeni"
"inimizade";"kimbeni"
"iníquo";"muntu a mbi"
"injecção";"ntumbu"
"injectar";"lweka ntumbu"
"injustiça";"konda fundisa"
"injusto";"wumvungi"
"inocência";"konda kuma"
"inocente";"konda kuma"
"inquietação";"lutokanasu"
"inquietar";"bwisa lutokanasu"
"inquieto";"ntokanasi"
"inquilino";"mfutidi"
"inscrever";"kudi sonekisa"
"inscrição";"soneka"
"insecto";"makoko"
"inseguro";"konda luvuvamu"
"inserir";"kotisa "
"insígnia";"sisu, dimbu"
"insinuar";"kominina"
"insistência";"tokanasa"
"insistir";"tokasa"
"inspector";"nkengidi"
"inspiração";"tawulwa"
"instalar";"yala, tanda"
"instância";"ntangwa"
"instantâneo";"swalu"
"instante";"wuwawu"
"instinto";"kadilu"
"instituição";"malongi"
"instituto";"zunga kya malongi"
"instrução";"lusansu, longi"
"instruir";"longa, songisila"
"instrumento";"sadilu, salanganu"
"instrutor";"nlongi, nludiki"
"insultador";"nzonzi"
"insultar";"zonzisa"
"insulto";"nzonzi"
"inteirar";"fwanisa"
"inteiro";"kya fwana"
"intelectual";"ngangu, zayi"
"inteligente";"nkwa ngangu"
"intenção";"ngindu"
"intensidade";"mpila"
"intenso";"kya ngolo"
"intercalar";"tula va kati "
"interessante";"kya mfunu"
"interessar";"kala mfunu"
"interesse";"kivana "
"interior";"kya mukati"
"intermédio";"vakati"
"internacional";"kya nsi"
"internar";"tula mukati"
"internar-se";"kudikotisa"
"interrogação";"fu kya yuvula"
"interrogar";"yuvala"
"interromper";"vunza"
"interrupção";"fu kya vunza"
"íntimo";"kya kati"
"intriga";"nsangu"
"introdução";"yantika"
"introduzir";"koti, dyukisa"
"intrometer";"kudikotisa"
"intrometer-se";"kudikotisa"
"intruso";"kikotisa"
"invasão";"fwasa"
"invasor";"mfwasi"
"inveja";"zinu"
"invejoso";"nkwa zinu"
"invenção";"fu kya soka"
"inventar";"soka"
"inventor";"nsoki"
"inversão";"fu kya soba"
"inverso";"kya sobwa"
"inverter";"soba"
"investigação";"fu kya longoka"
"investigador";"fyogononi"
"investigar";"fyogonona"
"investir";"lunda"
"invisivel";"kilembi monika"
"invocar";"tumisa"
"ir (verbo)";"kwenda"
"ir de volta ";"vutuka"
"ira";"makasi"
"irar-se";"kudifwemisa"
"irmã";"mpangi a nkento"
"irmão";"mpangi"
"irmão mais novo";"nleke"
"irmão mais velho";"mbunta"
"ironia";"soba mpila vova, soba mvovo"
"irracional";"konda ngindu"
"irregular";"kya konda sobwa"
"irresponsavel";"konda ngindu"
"irritação";"fu kya tokanasa"
"irritar";"lutokanasu"
"irritar-se";"kuditokanasa"
"isca";"nekwa, nsyalu"
"isento";"kya vuluka"
"isolado";"kya vambuka"
"isolar";"vambuka"
"isolar-se";"kudi vanbula"
"isqueiro";"nkola"
"isso ";"eki"
"isto ";"e ki, e kyoki"
"iteligência";"nduka"
"já (adv)";"wawu"
"jacaré";"ngandu"
"jamais (adverbio)";"ke dyakako"
"janeiro";"ngonde yantete"
"janela";"ntumpa"
"jangada";"nlungu"
"jantar";"madya mankokela"
"jardim";"fulu kya fololo"
"jardineiro";"mvata a fololo"
"jaula";"boloko"
"jazigo";"zyami"
"jeito";"lunene"
"jejuar";"nanga nzala"
"jejum";"nanga nzala"
"jesus";"isu"
"jibóia";"mboma"
"joelho";"kungulu"
"joelhos";"makungulu"
"jogar";"ta, bula"
"jogo";"nsaka"
"jóia";"lekwa yantalu"
"jornal";"nkanda"
"jovem ";"toko, ntawuzi"
"jovens";"matoko"
"justificação ";"fu kya sasila"
"justificar-se";"kudi sasila"
"justificar";"sasila"
"juiz";"mfudisi"
"juízo";"nguindu"
"julgamento";"mfundiswa"
"julgar";"fundisa"
"julho";"ngode ya nsambwadi"
"jumento";"bulu"
"junção";"bundikisa"
"junho";"ngode ya sambanu"
"junta";"kya bundwa"
"juntar";"kunda"
"juntar-se";"kudi bundikisa"
"junto";"kumosi, kimvuka"
"jura";"ndofi, nsilu"
"juramento";"dya ndofi"
"jurar";"zenga nzambi"
"justa";"ludi, kyeleka"
"justiça";"kyeleka"
"justificativo";"dya sasilwa"
"justo";"wunsongi"
"juvenil";"kileki"
"juventude";"kitwenya"
"Lacuna";"nkatu"
"Lado";"ndambu"
"Lado direito";"ndambu ya lunene"
"Lado esquerdo";"ndambu ya lumosi"
"Ladrão,ladra";"mwivi"
"Ladrar";"baza"
"Ladrilho";"tula matadi mambote"
"Lago";"yanga"
"Lagosta";"kinsambi"
"lagimas";"mansanga"
"Lágrima";"kinsanga"
"Lama";"ntebe"
"Lamaçal";"ntebe yayingi"
"Lambada";"ngoma"
"Lamber";"venda"
"Lambuzar";"lengomoka"
"Lamentação";"mabanza, nkenda"
"Lamentador";"nkwa nkenda"
"Lamentar";"mabanza"
"lâmina";"mbele "
"Lâmpada";"minikinu"
"Lamparina";"mwinda"
"Lamúria";"nyonga"
"Lança";"kya tuba"
"lançamento";"fu kya tuba"
"Lançar";"tuba, loza"
"Lance";"tubilu, vikimika"
"Lancha";"kumbi dya maza"
"Lanche";"dya kwa nkokela"
"Lanterna";"mwinda, mini"
"Lapidar";"kubika"
"Lápis";"lapi"
"Lapso";"vilakana"
"Laquear";"nikuzuka"
"Lar";"nzo"
"Laranja";"dilala"
"Laranjal";"vya dya malala"
"Laranjeira";"nti wa malala"
"Largo";"sanzuka"
"largar";"yambula"
"Largura";"sanzuka"
"Lascar";"senga  babumuna"
"Lasso";"yoya"
"lástima";"kyadi, nkenda"
"Lastimar-se";"kudi yindula"
"Lata";"dinzanza"
"Latagão";"dya pwena, dya nene"
"Lateral";"kundambu"
"Latex";"ndimbu"
"Latir";"baza"
"Lavadeira";"nsukudi a nkento"
"Lavadeiro";"nsukudi a yakala"
"Lavagem";"sukula"
"Lavandaria";"fulu kya sukudila"
"Lavar";"sukula"
"lavatório";"sukudilu"
"Lavra";"kyana, vya"
"Leão";"nkosi"
"Lebre";"dyevwa"
"Leccionar";"tangisa"
"Legal";"kala mu nsiku"
"Legalizar";"tula mu nsiku"
"Legenda";"nsono"
"Legumes";"nkovi"
"Lei";"nsiku"
"Leite";"kimvumina"
"Leitura";"fu kya tanga"
"Lembrar";"susumuna"
"Lembrar-se";"kudi susumuna"
"Lenço";"tambala"
"Lençol";"nlele"
"Lenda";"savu"
"Lenha";"nkuni"
"Lenhador";"ntyami a nkuni"
"Lenhar";"tyama nkuni"
"Lentamente";"malembe malembe"
"Lente";"mweno"
"Lento";"malembe"
"Leopardo";"ngo"
"Lepra";"wazi, nkayi"
"Leproso";"mbevo a nkayi"
"Ler";"tanga"
"Lesão";"fikuka"
"Lesar";"fikula"
"letras";"masono"
"Letra";"sono"
"Levantar";"talama"
"Levar";"nanta"
"Leve";"vevoka"
"Levemente";"kya vevoka"
"Liberal";"nzevoni"
"liberdade";"luvuvamu"
"Libertado";"kya yambula"
"Libertador";"mvuluzi"
"Libertar";"vulula"
"Libertinagem";"lembi kwikila"
"liberto";"vuluka"
"Lição";"longi"
"Licença";"luyambululu"
"Licenciado";"yambudilwa"
"licenciar";"fu kya yambudilwa"
"Lícito";"kya nswa"
"ligação";"fu kya vukana"
"Ligado";"kya vukana"
"Ligadura";"temba"
"Ligar";"yikanasa"
"Ligar-se";"kudi yikanasa"
"Ligeiro";"kya vevoka"
"Lima";"sengo kya zekisila"
"limão";"dilala dya ngani"
"Limar";"zekisa"
"Limitado";"mfoko"
"limite";"mwingilu"
"Limpador";"nkunguni"
"Limpar";"kunguna"
"limpeza";"fu kya kunguna"
"Limpo";"kya kungunwa"
"Lindo";"kya mbote"
"Língua";"ludimi, lulaka"
"Linguagem";"ndinga"
"Linha";"nsinga"
"Liquidar";"futa"
"Líquido";"kya maza"
"Liso";"lelama"
"Lista";"lutangu"
"Litro";"zongilu"
"Livrar";"yambula, vulula"
"Livrar-se";"kudi vulula"
"Livre";"kya vuluka"
"livro";"buku"
"Lixeira";"fuku"
"Lixo";"mvindu"
"Lobo";"mbulu, kimbungu"
"Local";"fulu"
"Localidade";"fulu"
"Localizar";"vava,sosa"
"Locutor";"mvovi"
"Lodo";"ntebe, nteke"
"Logo";"kokela"
"Loja";"nzo ya tekila"
"Lomba";"momgo"
"Lombriga";"nyoka"
"Lona";"kapu"
"Longe";"kwanda, nseke"
"Longo";"kya nda"
"Louco";"lawu"
"Loucura";"lawuka"
"Louva-a-deus";"kanga teke"
"Louvado";"kembila"
"Louvar";"kembila"
"Louvor";"kembila"
"Lua";"ngonde"
"Luar";"myezi"
"Lubrificar";"lembika"
"Lúcido";"nkwa nzayi"
"Lucrar";"baka luta"
"Lucro";"nluta"
"Lugar";"fulu"
"Luminoso";"ntemo"
"Lupa";"tadilu"
"Luta";"nwana"
"Lutador";"nwani"
"Lutar";"nwana"
"luto";"nlela kifwidi"
"Luxo";"fu kya kimvwama"
"Luz";"ntemo"
"má";"ambi"
"maca";"mfulu a mbevo"
"maçã";"bundu kya dya"
"macacão";"mvwantu"
"macaco";"nkewa"
"maçada";"yoyisa"
"maçador";"mwiku"
"macaquice";"fu kya nkewa"
"macaquinho";"nkewa a fyoti"
"maçar";"tuta"
"maçarico";"masinu ma tya"
"maçaroca";"sangu"
"machado";"sengele"
"macho";"koko "
"maço";"fikela"
"mácula";"mvindu"
"madeira";"baya"
"madeiro";"sadilwa kya mabaya"
"madrasta";"ngudi a nsasi"
"madre";"nengwa"
"madrinha";"ngudi a luvungilu"
"madrugada";"suka suka"
"madrugador";"nkwa nsuka"
"madrugar";"suka"
"madurecer";"bwakisa"
"maduro";"bwaka"
"mãe";"ngudi"
"magia";"ndoki"
"mágico";"ndoki"
"magismo";"wundoki"
"magistério";"nlongi"
"magistrado";"mfudisi"
"magnífico";"mbote kikilu"
"magnitude";"kya mbote beni"
"mágoa";"nkenda"
"magoar";"mwesa nkenda"
"maio";"ngonde a tanu"
"maior";"a nene"
"maioria";"ya wanso"
"mais";"nkasi"
"maiúscula";"sono kya nene"
"majestade";"ntinu"
"mal";"ambi"
"mala";"nkela"
"malandragem ";"fu ya mbi"
"malandro";"kwa fu yambi"
"malária";"fukutila"
"malcriado ";"nkondi a luzitu"
"maldade";"mbi"
"maldição";"loka"
"maldito";"vovila mbi"
"maldoso";"kwa ma mbi"
"malefício";"mvangi mambi"
"malfeitor";"mvangi mambi"
"malha";"dimbu kya bulu"
"malhador";"nwandi"
"malhar";"wanda"
"malícia";"ambi"
"maligno";"ambi kikilu"
"malograr";"mambi"
"maltratar";"vanga mbi"
"maluco";"lawu"
"malvado";"nkwa mambi"
"mama";"yene"
"mamãe";"ngudi"
"mamã";"ngudi"
"mamão";"kikila"
"mamar";"yema"
"mamilo";"nsuka yene"
"mamoeiro";"nti wa kikilu"
"manada";"buka kya bulu"
"mancebo";"toko"
"mancha";"dimbu"
"mandamento";"lutumu"
"mandante";"ntumi"
"mandão";"ntumi"
"mandar";"tuma"
"mandatário";"ntumwa"
"mandato";"ntumwa"
"maneira";"mpila"
"manejar";"vanga"
"manga";"manga"
"mangueira";"nti wa manga"
"manhã";"nsuka"
"manhoso";"molo"
"mania";"fu kya wolo"
"maníaco";"wolo"
"manifestação";"fu kya vova"
"manifestante";"atela mini"
"manifestar";"vova"
"manilha";"nlunga"
"manipulação";"fu kya vanga"
"manipulador";"mvangi"
"manipular";"vanga"
"manivela";"kya lelama"
"mano (irmão)";"mbuta"
"manobrar";"soki"
"mansão";"nzo ya nene"
"manso";"kya lembama"
"manteiga";"manteka"
"manter";"kala"
"mantimento";"fu kya kala"
"mantimentos";"madya"
"manual";"mu moko"
"manufacturar";"sala mumoko"
"manuscrito";"sonika mu moko"
"manusear";"sadisa"
"manutenção";"kubika"
"mão";"koko"
"máquina";"masino"
"maquinista";"nsadi a masino"
"mar";"mbu, kalunga"
"maravilhoso";"dya sivi"
"marca";"sisu, dimbu"
"marcar";"tula sisu"
"marcha";"nkangalu"
"marchante";"nkangadi"
"março";"ngonde ya tatu"
"maré";"kalunga"
"marfim";"dinu dya nzawu"
"margem";"kumu"
"marginal";"kumu"
"maricas";"yakala zolele kitu ka  nkento"
"marido ";"yakala"
"marimbas";"ngoma"
"marinheiro";"sadila mu  maza"
"marisco";"kya kalunga"
"mármore";"tadi dya mbote"
"maroto";"mvangi ambi"
"marreco";"nkuki"
"martelador";"nkomi"
"martelar";"koma"
"martelo";"kominu"
"mártir";"mumbani a mpasi"
"mas";"kansi"
"mascar";"tafuna"
"máscara";"mbawu"
"mascarado";"vwata mbawu"
"masculinidade";"yakala"
"masculino";"yakala"
"massa";"sangonasa"
"mastigar";"tafuna"
"mata";"mfinda, kuvata"
"mato";"mfinda"
"matabichar";"madya mamene"
"matador";"mvondi"
"matar";"vonda"
"matemática";"ntalu"
"matemático";"mvangi ntalu"
"matéria";"malongi"
"material";"salanganu"
"maternal";"kingudi"
"matinal";"menemene"
"matoso";"kya futa"
"matricular";"sonikisa"
"matrimónio";"lukazalu"
"matutino";"ntinu"
"mau";"mbi, ambi"
"máxima";"kya yingi"
"maximo";"kya yingi"
"mecânica";"mbangu a makalu"
"mecânico";"mvangi a makalu"
"mecanismo";"nsadilu"
"medalha";"nluta"
"mediano";"vakati"
"mediante";"mudyambu dya"
"medicação";"bilongo"
"medicamentos";"bilongo"
"medição";"baka bilongo"
"medicar";"baka bilongo"
"medicina";"salu kya mawuku"
"médico";"nganga ma wuku"
"medida";"tezo"
"médio";"vakati"
"medíocre";"kya kvakati"
"medir";"teza"
"meditação";"samba"
"meditar";"sambila"
"medo";"wonga"
"medroso";"nkwa wonga"
"medula";"nsuwa"
"meia";"nlele"
"meio";"kati"
"mel";"wiki"
"melaço";"kya nzenzo"
"melancia";"bundu, melasia"
"melão";"bundu"
"melhor";"kiwete"
"melhorar";"kala ye wete"
"melindrar";"lokila"
"melindroso";"kwa makasi"
"melodia";"zu"
"membrana";"kima kya  fyoti"
"membro";"ndambu "
"memorável";"malendwa lundwa"
"memória";"zayi"
"memorial";"dya lundwa"
"mencionado";"kya sonikwa"
"mencionar";"sonika"
"mendigar";"lomba"
"mendigo";"nlombi"
"mendinho";"nlembo a nsuka"
"menina";"kindende kya nkento"
"menino";"kindende kya yakala"
"menor";"nleke"
"menoridade";"ntela ya fyoti"
"menos";"katulula"
"mensageiro";"ntumwa"
"mensagem";"nsangu"
"mensal";"kya ngondo"
"menstruar";"ku menga"
"mênstruo";" ku menga"
"mental";"dya zayi"
"mentalidade";"zayi"
"mente";"zayi, ngidu"
"mentir";"vuna"
"mentira";"fu kya vunu"
"mentiroso";"kwa lu vunu"
"mercado";"zandu"
"mercadoria";"mayateka, nsolo"
"mercenário";"nzodi a nzimbu"
"mercúrio";"melukulu"
"merecer";"kya mfwana"
"merenda";"nkayilu"
"mergulhador";"ndyuki"
"mergulhar";"dyuka"
"mérito";"fu kya mbote"
"mero";"nlembami"
"mês";"ngonde"
"mesa";"meza"
"mesmo";"kana"
"mesquinho";"nsukami"
"messias";"ngunza"
"mestiço";"nlatu"
"mestre";"nlongi"
"mestruação";"ku menga"
"mestruada";"ku menga"
"meta";"mwingilu"
"metade";"tini"
"metáfora";"fwananesa"
"metal";"sengo"
"metamorfosear";"soba mpila"
"meter";"tula"
"mexer";"nikuna"
"mexerico";"mwiku"
"mexeriqueiro";"nkwa nikuna"
"micróbio";"minvidi, nyanya"
"micróscopico";"tadilu"
"migar";"vasununa"
"mijar";"suba"
"mil (1000)";"funda "
"milagre";"sivi"
"milagroso";"dya sivi"
"milésimo";"fintangwa a ntangwa"
"milho";"masangu"
"milionário";"nkwa zimbu za yingi"
"militar";"bamba ngolo"
"mimoso";"kinzedila"
"minar";"leka mbukila"
"mineral";"ma velela"
"minério";"ma uluma wolo"
"minha";"kyame"
"minhoca";"nyoka"
"mínimo";"kya fyoti"
"ministério";"kimvuka kya a sadisi"
"ministra";"ntwadisi"
"ministro";"ntwadisi"
"minúsculo";"sono ya kete"
"minuto";"ntangwa a kete"
"miolo";"tomfi, tongongo"
"mira";"mona"
"mirar";"tadila"
"miserável";"nsukami"
"misercodioso";"nkwa nkenda"
"miséria";"wunsukami"
"misericórdia";"nkenda"
"missa";"sambila"
"missanga";"nzingu"
"missão";"lutumbu"
"missionário";"nsadi a nzambi"
"míster";"longi a somba"
"mistério";"sivi"
"misterioso";"kya sivi"
"misto";"kya sangwa"
"mistura";"sanga"
"misturar";"sanganesa"
"mitologia";"nsangu"
"mitológico";"fu kya nsangu"
"miúda";"nleke a nkento"
"miúdo";"nleke a yakala"
"moagem";"twilu, ntutilu"
"mobília";"salangamu ya nzo"
"moça";"ndumba, dubalela"
"mocidade";"wundumba"
"moço";"toko"
"moda";"mpila ya"
"modelo";"ntindu"
"moderação";"malembe"
"moderar";"vanga malembe"
"modernização";"tomesa"
"moderno";"ampa"
"modéstia";"lemvoka "
"modesto";"nkwa lenvo"
"modificação";"soba, vilula"
"modificar";"vilula, balula"
"modo";"mpila"
"moeda";"nzimbu za sengo"
"moela";"kimfi"
"moer";"nika, tuta"
"mofar";"kya wola"
"mofo";"wola"
"mola";"ma kya nanumuka"
"molar";"nanumuka"
"moldar";"singika"
"mole";"yoya"
"moleque";"nleke"
"moléstia";"yela"
"moleza";"wayoya"
"molhado";"kya yondalala"
"molhar";"yondeleka"
"molho";"dyunga, mole"
"momento";"ntangwa"
"monarca";"mfumu a nene"
"monarquia";"fu kya yala"
"monitor";"nlongi"
"monotonia";"konda kweleka"
"monótono";"kya vutukila"
"monstro";"mbawu"
"monstruoso";"mbawu"
"montanha";"mongo "
"montanhoso";"myongo"
"montão";"kuku"
"montar";"kubika, mata"
"monte";"nkuta"
"monumento";"teke"
"morada";"nzo, fulu kya teka"
"morador";"ntungi, musi vata"
"moral";"fu kya mbote"
"morango";"bundu"
"morar";"zingila"
"morcego";"ngembo"
"morder";"tatika, lunza"
"mordomia";"lemvoka"
"mordomo";"ntumi"
"moreno";"bwaka"
"morrer";"fwa"
"morro";"mongo, mote"
"mortal ";"kilenda fwa"
"mortalidade";"fwa"
"morte";"fwa"
"morto";"lufwa"
"mosca";"mbwanzi"
"mosquiteiro";"kikilu kya mbu"
"mosquito";"mbu"
"mostrar";"songa"
"motim";"lunatuku"
"motivar";"kasumuna"
"motivo";"kuma"
"motocicleta";"tukutuku"
"motor";"motodi"
"motorista";"nati a kumbi"
"mover";"nikuka"
"movimentação";"fu kya nikuka"
"movimentar";"nikuka"
"movimento";"nikunwa"
"mudado";"kya sobwa"
"mudança";"fu kya soba"
"mudar";"soba"
"mudo";"baba"
"muito,";"ya yingi"
"mula";"bulu"
"mulata";"mwana ndobi ye mundele"
"mulemba";"nti wa kanda"
"mulher";"nkento"
"multa";"nsiku"
"multar";"futisa"
"multidão";"ndonga"
"multiplicação";"vwidisa"
"multiplicar";"vwidisa"
"musculatura";"myanzi"
"músculo";"mwanzi"
"musculoso";"kya myanzi"
"museu";"nzo ya kinkulu"
"música";"nkunga"
"músico";"nyimbidi"
"mutação";"fu kya soba"
"mutilado";"nvaguki"
"mutilar";"mvangula"
"mútuo";"kimvuka"
"Nação";"nkangu"
"Nacional";"besi nsi"
"Nacionalidade";"ngutukila"
"nada";"nkatu"
"nadar";"mansa, taba"
"Nádega";"taku"
"nádegas";"mataku"
"namorada";"nzolwa"
"namorado";"nzolwa"
"namorar";"nzitikila"
"namoro";"wa zitikilwa"
"Não";"ve, nkatu"
"não acabar";"kumanisa ko"
"não aceitar";"kuzodi ko"
"não cumprir";"konda vanga"
"narina";"nzunu"
"narinas";"nzunu"
"Nariz";"nzunu"
"narrar";"zayisa"
"Nascente";"nto, sina"
"nascer";"wuta"
"nascimento";"luwutuku"
"natação";"taba"
"nato";"ngutukila"
"natural";"kingutukila"
"natureza";"ngutukila"
"navalha";"mbele"
"navegação";"nkangala "
"navegador";"nati a kumbu dya maza"
"navegar";"kangala"
"navio";"nkumbi dya maza"
"neblina";"wunga"
"necessário";"kya mfunu"
"necessidade";"dya mfunu"
"necessitar";"zola"
"negação";"nkalu"
"negar";"vakula nkalu"
"negativa";"nkalu"
"negativo";"nkalu"
"negligente";"zemvona"
"negociante";"munkiti"
"negociar";"sumbana, sumba"
"negócio";"nsolo"
"negro";"ndombe, lomboka"
"nem (adv.)";"nkatu"
"nené";"nsedya"
"nenhum";"kamosi ko "
"nenhuma";"kakima ko"
"nenhuma vez";"kelumbu kimosi ko"
"nervo";"makasi"
"nervoso";"nkwa makasi"
"neta";"ntekilu a nkento"
"neto";"nlekilu a yakala"
"neve";"wunga"
"nevoeiro";"wunga"
"ninguém";"kamosi ko"
"ninho";"zala"
"nivel";"singama"
"nó";"zita"
"nobre";"mfunu"
"nocivo";"kya mbi"
"nocturno";"kya fuku"
"nódua";"mvindu"
"noite";"fuku"
"noiva";"nsompwa"
"noivado";"wa zitikilwa"
"noivar";"zitikila"
"noivo";"nsompi"
"nojo";"kele"
"nome";"zina"
"nomear";"vana zina"
"nominal";"kya zina"
"nonagésimo (90º)";"nkumbu luvwa"
"nono (9º)";"nkumbu vwa"
"nora";"nzitu "
"norma";"mpila"
"normal";"tezakaka"
"normalizar";"fyoti fyoti"
"norte";"node"
"Nós";"yeto"
"nossa";"kyeto"
"nosso";"kyeto"
"nota";"sonika"
"notar";"mona"
"notícia";"nsangu, nsamu"
"noticiário";"nsamu"
"notificar";"luzayisu"
"nova";"kya mpa"
"novamente";"dyaka"
"novas";"mampa"
"novato";"wampa"
"nove (9)";"vwa"
"novecentos (900)";"nkama vwa"
"novela";"nsangu"
"novembro";"ngode ya kumi yemosi"
"noventa (90)";"luvwa"
"novidade";"mampa"
"novo";"ampa"
"noz";"nkandi"
"nu";"kimpeni"
"nuca";"kosi"
"nudez";"kimpeni"
"numeração";"ntalu"
"numerar";"tula ntalu"
"numerário";"ntalu"
"número";"ntalu"
"numeroso";"ntalu za yingi"
"nunca";"nkantu"
"nutrir";"madya"
"nutrição";"madya"
"nutritivo";"kya dya"
"nuvens";"matuti"
"nuvem";"tuti"
"obedecer";"tonda"
"obediência";"nlembami"
"obediente";"lemvoka"
"obesidade";"wunene"
"óbito";"lufwa"
"objectivo";"kuma"
"objecto";"kima"
"obra";"salu"
"obrar";"nena, sala"
"obrigação";"kominina"
"obrigado ! (Interj)";"ntondele!"
"obrigar";"komina"
"obrigar-se";"kudi kominina"
"obsceno";"kya mbi"
"obscuro";"tombe, mpipa"
"observação";"taluzula"
"observador";"ntadi"
"observar";"tadidila"
"obstaculo";"katidi"
"obter";"lenda"
"ocasião";"ntangwa"
"ocasionar";"vana ntangwa"
"oceano";"mbu, kalunga"
"ocidental";"nkwa osidente"
"oco";"mwankatu"
"ocorrência";"divangamene"
"ocorrer";"divangame"
"octogésimo (80º)";"nkumbu lunana"
"óculos";"nguya"
"ocultar";"sweka"
"oculto";"kya swekwa"
"ocupação";"fu kya bandila"
"ocupar";"bandila"
"odiar";"konda nzola"
"ódio";"zinu"
"odor";"nsunga"
"ofender";"finga, lokila"
"ofendido";"wafingwa"
"ofensa";"finga"
"oferecer";"kayila"
"oferecer-se";"kudi kaya"
"oferecimento";"fu kya kaya"
"oferta";"nkayilu"
"ofertar";"kaya"
"oficial";"kya nsiku"
"oficina";"fulu kya salu"
"oficio";"salu kya moko"
"oitavo (8º)";"nkumbu nana"
"oitenta (80)";"lunana"
"oito (8)";"nana"
"oito mil (8000)";"mafunda nana"
"oitocentos (800)";"nkama nana"
"óleo";"mafuta, mazi"
"olhar";"tala"
"olho";"disu"
"olhos";"mesu"
"ombro";"vembo"
"ombros";"mavembo"
"omitir";"sweki"
"onça";"ngo"
"onda";"vuku"
"onde?";"kweyi?"
"ontem";"zono"
"opção";"sola"
"operação";"nsala"
"operar";"vanga ki salu"
"operário";"nsadi"
"opinão";"ngindu"
"opinar";"vana ngindu"
"oportunidade";"mpwasi"
"oposição";"mbanda"
"oposto";"mbanda"
"optar";"sola"
"óptimo";"kya mbote"
"ora";"owawu"
"oração";"sambila"
"orador";"mvovi"
"oral";"vova"
"orar";"sambila"
"ordem";"malandani"
"ordenado";"kya singikwa"
"ordenar";"singikwa"
"orelha";"kutu"
"orelhas";"matu"
"orfão";"nsona"
"organizar";"kubika"
"orgão";"sisu ya muntu"
"órgãos genitais femenino";"koto"
"órgãos genitais masculino";"kata"
"orgulhar-se";"kudi yangidika"
"orgulho";"kisema"
"orgulhoso";"nkwa kisema"
"orientação";"songisila"
"orientar";"songisila"
"orifício";"vundu"
"origem";"tuku, ntuka"
"original";"ntete, tuku"
"originar";"ntuka"
"orintador";"nlongi"
"oscilação";"tomboka kulumuka"
"oscilar";"tumboka kulumuka"
"osso";"visi"
"ou";"va, vo"
"ouro";"wolo"
"ousado";"nkasu"
"ousar";"kasu, wunkabu"
"outra";"kya nkaka"
"outro";"kya nkaka"
"outrora";"ntangwa ya nluta"
"outubro";"ngonde ya kumi"
"ouvido";"kutu"
"ouvinte";"nkwawa"
"ouvir";"wa"
"ovar";"lozela"
"ovário";"fulu kya lozela"
"ovelha";"mene dya nkento"
"ovo";"dyaki"
"ovos";"maki"
"ovulo";"dyaki dya nkento"
"oxala!";"nge!"
"papai";"se"
"papa";"se"
"pai";"se"
"pais";"mase"
"país";"nsi"
"paisagem";"sisu"
"paixão";"zola"
"palácio";"nzo ya nene"
"paladar";"ntomo"
"palavrão";"dyambu dya nene"
"palco";"fulu kya nkinzi"
"palerma";"zowa"
"palha";"titi"
"palhaço";"teke"
"pálido";"nwenga"
"paliteiro";"nti woto kominameno"
"palito";"lusyesengele"
"palmatória";"mbalamu"
"palma";"mbanzila"
"palmeira ";"ba"
"pancada";"wanda"
"pâncreas";"kinzalanzala"
"panela";"kinzu, nzungu"
"pânico";"susumuka"
"pano";"nlele"
"panorama";"kwanda"
"pântano";"mayanga"
"pantera";"bulu"
"papa";"kimpyoka"
"papagaio";"nkusu"
"papel";"papi"
"papelaria";"nzo ya papi"
"par";"kimosi"
"para…";"ye…"
"parabéns";"zodila mbote"
"parábola";"ngana"
"paradeiro";"fulu"
"parafusar";"yayisa"
"parafuso";"nsoso"
"paragem";"vundilu"
"parágrafo";"kanba"
"paraíso";"fulu kya luvuvamu"
"paralelo";"xinda,"
"paralisar";"ningama"
"paralítico";"nvanguki"
"parar";"ningama"
"parceiro";"nkundi"
"parcial";"kyeleka"
"parecer";"fwanana"
"parede";"yaka"
"parentesco";"kanda"
"parlamento";"nzo a nsiku"
"parte";"ndambu"
"participante";"moneki"
"participar";"moneka"
"partícula";"kima ya fyoti"
"particular";"kya mosi"
"particularmente";"kya mosi"
"partida";"gyenda"
"partidário";"kwa kimvuka"
"partido (partir)";"kya toloka"
"partilhar";"kayana"
"partir";"toloka"
"parto";"wuta"
"parvo";"zowa, zengi"
"parvoice";"zowa, zengi"
"Páscoa";"paki"
"pasmado";"dya sivi"
"pasmo";"nsivi"
"passada";"kya luta"
"passadeira";"mwa lutila"
"passado";"luta"
"passador";"lutilu"
"passageiro";"nluti"
"passagem";"nzila, nduta"
"passaporte";"nkanda nswa"
"passar";"vyoka, luta"
"pássaro";"numi"
"passear";"zyeta, nkangalu"
"passeio";"nkangala"
"passivo";"vuvama, lembama"
"passo";"lutambi"
"pasta";"nkutu"
"pastor";"mvungudi"
"patamar";"lwaka"
"patente";"nsinda"
"patentear";"vwika nsinda"
"paternal";"kise"
"paternidade";"kise"
"paterno";"kise"
"pateta";"zowa"
"patetice";"fu kya zowa"
"patim";"nspatu za lulu"
"pátio";"yanzala"
"pato";"dibata"
"patrão";"mfumu"
"pátria";"nsi"
"património";"mawete"
